date,alg_date,alg_model,alg_predict_on,alg_use_log,code_date,code_version,feat_area_log,feat_coastline_length,feat_cp_ratio_log,feat_dist_path_log,feat_distance_first_impact_log,feat_elevation_log,feat_pop15_log,feat_pop_density_log,feat_poverty_frac_log,feat_proj_distance_first_impact_log,feat_rainfallme_log,feat_roof_conc,feat_roof_half_conc,feat_roof_iron,feat_roof_makeshift,feat_roof_straw,feat_roof_wood,feat_ruggedness_mean_log,feat_ruggedness_stdv_log,feat_slope_mean_log,feat_slope_stdv_log,feat_wall_bamboo,feat_wall_conc,feat_wall_half_wood,feat_wall_iron,feat_wall_makeshift,feat_wall_wood,feat_wind_speed_log,feat_x_pos,feat_y_pos,learn_matrix,run_name,typhoon_to_predict,val_accuracy,val_best_score,val_mean_error_num_houses,val_median_error_num_houses,val_perc_down,val_perc_up,val_score_test,val_std_error_num_houses,val_stdev_best_score
28/11/2016-23:06:07,28/11/2016-23:00:55,NN,comp_damage_houses_perc,True,28/11/2016-20:41:51,1p3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/data/Dropbox/Documents_graafstroom/Data_science/Red_cross/Typhoon/pipeline_typhoon/5typhoons_v1.csv,run_full_47,new_typhoon,0.771428571429,0.657255313008,600.34097146,66.4611445776,0.0433862433862,0.185185185185,0.729462864956,1341.02539039,0.0468913742972
28/11/2016-23:49:23,28/11/2016-23:39:30,randomforest,comp_damage_houses_perc,True,28/11/2016-20:41:51,1p3,NA,NA,NA,0.20203387173,0.0664611795725,NA,NA,NA,0.0479410280731,0.0669578866209,0.0571101741789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320546929994,0.0965111836419,0.142437746189,/data/Dropbox/Documents_graafstroom/Data_science/Red_cross/Typhoon/pipeline_typhoon/5typhoons_v1.csv,run_full_41,new_typhoon,0.803174603175,0.773850391446,493.544500547,40.65318057,0.00740740740741,0.189417989418,0.815370683011,1117.13041672,0.0481076095545
29/11/2016-04:28:43,29/11/2016-04:28:36,linreg,total_damage_houses_0p25weight_perc,True,28/11/2016-20:41:51,1p3,-4.03971776786,1.00899748791,-1.51431941479,-2.59466886969,-0.509480006087,0.64406554664,-2.62526479853,-1.3118337487,-1.19296507885,-3.56738600113,-2.50956340817,-1.94696687874,-0.230424832151,-0.248407941303,-1.21092592059,-0.872270581321,3.25818945889,0.201199461452,0.113807074231,-0.83464337138,0.828947034234,1.19291450797,-1.24387324105,0.306974974912,2.20767360339,-1.95571955422,-0.900195075413,16.2128312326,1.9906149342,0.437707162753,/data/Dropbox/Documents_graafstroom/Data_science/Red_cross/Typhoon/pipeline_typhoon/5typhoons_v1.csv,run_full_85,new_typhoon,0.695238095238,0.676397166715,1400.67486875,144.483507715,0.0910052910053,0.194708994709,0.747210311869,8558.57724234,0.0774051270182
29/11/2016-05:23:46,29/11/2016-05:12:02,GBT,total_damage_houses_0p25weight_perc,False,28/11/2016-20:41:51,1p3,0.0463772176383,0.0294375822107,0.0341131672859,0.119683090852,0.0682674173799,0.0426082074227,0.0520967239065,0.0413887895265,0.0554434068719,0.065895458592,0.0550164887398,NA,NA,NA,NA,NA,NA,0.0389522863842,0.0419446307412,0.0384221339256,0.0439023421295,NA,NA,NA,NA,NA,NA,0.107122707575,0.0568034071348,0.0625249416834,/data/Dropbox/Documents_graafstroom/Data_science/Red_cross/Typhoon/pipeline_typhoon/5typhoons_v1.csv,run_full_78,new_typhoon,0.642328042328,0.787211919021,574.137356371,202.405136204,0.107936507937,0.203174603175,0.821118807134,937.291419789,0.0726245434238
